index,character_name,movie_name,persona,movie_summary
5,Ellen Aim,Streets of Fire,chanteuse,"In an unnamed city, Ellen Aim , lead singer of Ellen Aim and The Attackers, has returned home to give a concert. The Bombers, a biker gang, led by Raven Shaddock , enter the auditorium and kidnap her. Witnessing all of this is Reva Cody , who runs a local diner, wires her kid brother Tom Cody , an ex-soldier and Ellen's ex-boyfriend, to rescue her. Tom arrives by elevated train and, after taking Reva home, checks out the local tavern, the Blackhawk, where Clyde  tends bar. He is annoyed by a tomboyish looking ex-soldier named McCoy , a mechanic who ""could drive anything"" and who is good with her fists, as evidenced when she knocks out Clyde. They leave the bar and McCoy asks Tom for a place to stay for the night. He obliges, taking her home, where she gets the couch. That night, Tom and Reva plan to rescue Ellen; Reva is to contact Billy Fish , Ellen's manager and current boyfriend, to meet at the diner in the morning. While Reva and McCoy go to the diner to wait for Billy, Tom acquires a cache of weapons that includes a pump action shotgun, a Stainless Ruger Redhawk revolver, and a Marlin lever action rifle. Tom and Billy meet at the diner and Tom agrees to the rescue on the condition that Billy pays him $10,000 and that he goes with Tom back into ""the Battery"" to get Ellen. Billy agrees, and Tom hires McCoy to drive for 10%. In the Battery, they visit Torchie's, where Billy used to book bands. They wait until nightfall, down the block under an overpass, watching a lot of bikers come and go. Inside the bar, The Blasters play ""One Bad Stud"" while a dancer  gyrates on a small stage. Raven has Ellen tied up to a bed in a room upstairs. As Tom, Billy, and McCoy approach Torchie's, Tom directs Billy to return to the car and be out front in fifteen minutes. Tom plans to go in topside while McCoy uses the front door.  McCoy enters and is stopped by one of the Bombers. McCoy, pretending to like him, follows him to his special ""party room"", just down the hall from where Raven is playing poker. McCoy pulls a handgun on the gang member and knocks him out with the butt of her weapon. Tom explores the building across from the bar until he is directly across from Ellen's window. McCoy bursts into the card game and gets the drop on Raven and the rest. Tom starts to blow up the bikes, shooting their gas tanks, then slides down and runs up to Ellen's room. He cuts her free and, with McCoy's help, escapes just as Billy arrives at the front door. As the others jump into the convertible, Tom sends them off to meet at the Grant Street Overpass, then blows up the gas pumps outside the bar as a diversion. Raven appears out of the flames and chaos to confront Tom. After learning who he is, Raven warns he'll be back for her and for him, too. Tom escapes on the one motorcycle that survived destruction. Billy is persuading Ellen to wise up, telling her the only reason her ex-boyfriend rescued her was for money. Tom arrives and jumps into the car, and McCoy pointedly explains to Billy that Tom used to be Ellen's old flame. Ditching the very visible street rod in a parking garage, Ellen follows Tom up the stairs while Billy and McCoy take the elevator. Ellen and Tom fight as Billy and McCoy go back and forth once again about Tom and Ellen's love affair. When they all meet up on the street, they are in the Battery. The group returns Ellen safely home where she initially rejects her home town as well as Tom. Later, he goes to the hotel where Ellen and Billy are staying to collect his reward. He only takes McCoy's cut and throws the rest in Billy's face. He then tells Ellen that there was a time he would've done anything for her but no more. As Tom storms out, Ellen follows and the two embrace in the rain. Meanwhile, Raven informs Officer Ed Price ([[Richard Lawson , the head of the police department, that he wants Tom to confront him alone. If he agrees he will leave the Richmond alone. Price tells Tom to get out of town. Tom, Ellen, and McCoy leave on a train. He knocks out Ellen and returns to town for a climactic battle with Raven involving railroad spike hammers. Tom defeats Raven and the defeated gang carries their leader away. Later that night, he says a final goodbye to Ellen and rides off with McCoy."
15,Timothy,The Long Kiss Goodnight,casanova,"Samantha Caine  is a mother and schoolteacher with a seemingly normal life in the small town of Honesdale, Pennsylvania. Eight years previously, she was found pregnant and badly injured, suffering complete amnesia after being found washed up on a beach in New Jersey. Since that time, she has hired a series of private investigators to try to uncover her past with no success, the latest  being wisecracking, ethically challenged private investigator Mitch Henessey . When television footage of a parade she participated in is broadcast, a one-eyed convict, ""One-Eyed"" Jack , recognizes her immediately and escapes on a mission of revenge. Caine is injured in a car accident when her car hits a deer in the middle of the road and crashes into a tree, and begins displaying unexpected skills and ruthlessness, manifesting in surprising knife-wielding abilities and uncharacteristic harshness directed toward her daughter Caitlin . When Jack suddenly attacks her, she dispatches him with lethal self-defense skills she was not aware she possessed, culminating in snapping his neck with a cold-blooded rabbit punch. Meantime, Henessy has had a break in her case—a suitcase has been found in the attic of a boarding house Caine briefly stayed at years before, discovered after the landlady died. With Hennessy and information found in the suitcase, Caine seeks out Dr. Nathan Waldman ([[Brian Cox . During the trip, Caine discovers a disassembled Remington 700 in a hidden compartment in the suitcase and smoothly assembles it out of conditioned reflex. Though Hennessy displays strong misgivings at where the situation is headed , Caine talks him into pressing on. When they meet Waldman, he reveals that Caine is really Charlene Elizabeth ""Charly"" Baltimore, an assassin for the CIA who went missing eight years ago. Hennessy is doubtful of this, as well as Waldman's sanity, until armed men who've been narrowing in on them begin shooting. Caine/Baltimore's skills help them escape. Baltimore and Hennessy drive to an isolated farm to visit Luke ([[David Morse , a man to whom a note in the suitcase led her to believe she was engaged. They learn too late that Luke, aka ""Daedalus"", was actually a target she was assigned to assassinate eight years earlier . Daedelus is pleasantly surprised that Baltimore, Hennessy, and Waldman have delivered themselves to him. Waldman is killed, Hennessy is imprisoned and beaten, while Baltimore is tortured for information: She is stripped down to her slip, bra, and panties, bound with rope by her hands and feet to a waterwheel, and repeatedly lowered into ice cold water until near drowning. During this process, her real identity fully resurfaces she, kills Daedelus, escapes, kills his henchmen, and frees Hennessy. Although Charly Baltimore initially disdains her life as 'Samantha Caine' , Hennessy forces her to recognize that she actually liked her time as Samantha as it was the first time she was truly content with herself. While attempting to resolve her conflicted feelings about her past, Baltimore discovers that her former boss at the CIA, Leland Perkins , has allied with a psychological-operations specialist named Timothy , who is a former lover of Charly, in a false flag plot to detonate a chemical bomb in downtown Niagara Falls, New York, frame ""Islamic"" terrorists for the crime, and thus secure more funding. She and a still-reluctant Hennessy set out to thwart the plot and rescue Caitlin, who has been kidnapped on Perkins' order while his henchmen were trying to kill Baltimore. Baltimore and Hennessy attack the operation's staging area, where the truck bomb is being prepared. Along the way, Baltimore confronts Timothy with her now-restored memories of how she was shot in the head and left for dead by Jack  and reveals to Timothy that Caitlin is in fact ""his"" daughter. Timothy is dubious until he looks in Caitlin's eyes, recognizing their similarity to his own, but decides to kill Baltimore and Caitlin anyway and continue the operation. Baltimore escapes with Caitlin and, with Hennessy's help, thwarts the operation, killing Timothy's henchmen and ultimately Timothy himself. In an epilogue, Baltimore has returned to her assumed identity as Samantha Caine, declining an offer to rejoin the CIA. For his part, Hennessy enjoys the publicity attracted by his role in the crisis, and is last seen being interviewed by Larry King."
16,Johnny Wickham,Bride and Prejudice,casanova,"The plot of the movie is based on Austen′s novel Pride and Prejudice. Some character names remain the same, while others are changed slightly, using localized names with similar pronunciation . Set in Amritsar, the story follows Lalita Bakshi, a young woman living with her doting father and helping him run the family farming enterprise; her mother, who is determined to marry off her daughters to respectable and wealthy men; and her three sisters, Jaya, Maya, and Lakhi. At a friend's wedding, Lalita meets Will Darcy, a handsome and wealthy American working in the family hotel business, who has arrived in Amritsar with his long-time friend, the barrister Balraj, and Balraj's sister Kiran. Events in the movie roughly parallel those in the novel, punctuated by ""Bollywood"" style song and dance numbers: Darcy resists his attraction to Lalita, who considers him conceited, arrogant, and intolerant toward India and Indian culture. At various parties and gatherings, Mrs Bakshi's mindless chatter, Maya's kitschy dancing, and Lakhi's uninhibited flirting astonish Darcy and his friends, and mortify Jaya and Lalita. Balraj and Jaya fall quickly in love, but misunderstandings and interference by others drag out their courtship. Lalita meets and is attracted to ""Johnny Wickham,"" Darcy's former friend, and he validates her low opinion of Darcy. Mr Kholi, a rich, crass, clumsy, and ostentatious Americanized relative, proposes to Lalita; after she turns him down, her best friend Chandra agrees to marry him, much to Lalita's confusion and consternation. When the youngest sister Lakhi tries to run off with Wickham, Darcy and Lalita find the couple and separate them before he can ruin her life, as he almost did to Will's young sister Georgie. Ultimately, back in India for Jaya and Balraj's wedding, Darcy surprises and wins over Lalita by joining in the traditional drumming, showing that he is learning to appreciate Indian culture. The film ends with the double wedding of Jaya to Balraj and Lalita to Darcy, with the two couples riding on elephants down the streets of Amritsar."
26,Roy O'Bannon,Shanghai Noon,retired_outlaw,"Chon Wang is a Chinese imperial guard. After Princess Pei-Pei, for whom Wang has affection, is abducted and taken to the United States, the Emperor of China sends three of his guards to retrieve her. Wang is not among one of the three, but after he tells them that it was his fault the princess was kidnapped, he is merely sent in the hopes that the ""foreign devils"" would get rid of Wang. In Nevada, Roy O'Bannon is an outlaw who, with his gang, hijacks the train Wang is on. When Wallace, a member of Roy's gang, kills Wang's uncle, Wang chases the outlaws down. However, the gang is well-armed and Wang's only choice is to unhinge the cars and get away on the engine. In the process, Wallace takes over the gang from Roy, and they leave him buried up to his chin in the desert sand. Meanwhile, Pei-Pei, who was tricked into believing she was freely escaping her arranged marriage in China, finds out she has been kidnapped by an agent of Lo Fong, who ran away from the Forbidden City and was viewed as a traitor by the Chinese. When Wang finds Roy buried in the sand, he demands to know the direction to Carson City. Roy tells him that the city is on the other side of a mountain. Wang puts two chop sticks in Roy's mouth for him to dig himself out. When Wang comes out the other side of the mountain, he gets involved with a Sioux tribe by saving a boy chased by the Crow tribe and ends up reluctantly marrying the tribe chief's daughter, Falling Leaves. Wang finds Roy in a tavern and, in anger, starts a fight with him that turns into a barroom brawl. The two of them get sent to prison, and after Falling Leaves helps them escape, they become friends. Roy trains Wang in the ways of the cowboy. When they get to Carson City, Roy discovers that both he and Wang, now identified as the ""Shanghai Kid"" are wanted by Lo Fong's ally Marshal Nathan Van Cleef, and the two of them narrowly escape. They go to a bordello , but after a drunken encounter by Wang, the Marshal eventually catches and arrests them. They find out that Lo Fong is behind the kidnapping of the princess. As they are about to be hanged, Wang manages to break himself free and after Falling Leaves shoots Roy loose, they escape the execution site. Wang, upset over Roy previously telling one of the prostitutes at the bordello he was not Wang's friend, rides off alone to find the princess. However, Roy follows him and the two reunite when Roy saves him from Fong. The next day, the two partners go to the ransom point, the Carson City Mission church. The three imperial guards arrive with the gold, and Lo Fong has the princess in hand. However, a simple exchange becomes complicated when Wang shows up and Roy points a gun towards Fong. Wang tells his fellow guards that he will not allow them to bring the princess back to China. As the Chinese and Lo Fong fight amongst themselves, Van Cleef arrives and engages Roy in a gunfight. After Roy is limited to one remaining bullet, Van Cleef simultaneously fires both of his guns but Roy shoots him in the heart. Wang fights the Imperial Guards whilst Lo Fong chases Pei-Pei through the rafters of the church. After Wang knocks all three Guards unconscious he fights Lo Fong to the bell tower. Wang ultimately kills Lo Fong by dismantling the bell causing it to hang Lo Fong. When they awaken, the Imperial Guards decide that they will let the princess stay. Wallace and his gang also come up to the church, and demand that Roy and Wang come out and fight. But when the two of them get outside the church to face Wallace, Natives from all around surround the gang. At a Chinese cultural celebration Roy thanks Falling Leaves for saving him and they engage in a passionate kiss. At the same time, Pei-Pei holds a smiling Wang's hand. Roy and Wang are shown as sheriffs and ride off to catch a new band of train robbers."
36,Jackson Rippner,Red Eye,psycho_for_hire,"After attending her grandmother's funeral in Dallas, Texas, Lisa Reisert  takes a red-eye flight to Miami, Florida. While in the check-in line she meets Jackson Rippner . When boarding, Lisa discovers that Jackson is on the same flight and seated beside her. After take off, Rippner reveals that he is a terrorist operative working for a group who intends to assassinate the United States Deputy Secretary of Homeland Security Charles Keefe  and his family. Lisa is instrumental in their plans because of her job as Acting Manager at the Lux Atlantic Hotel where the Keefe family is staying. The assassination plan is to use a portable missile launcher from a boat in a nearby harbor and fire it at the hotel. In order for this to work, Rippner must force Lisa to make a phone call from the in-flight phone and order the hotel staff to change his reservation to a suite facing the harbor. If she refuses to cooperate, he will deploy a hitman to kill her father, Joe ([[Brian Cox , at his home in Miami. Lisa attempts to find a way to keep both her father and Keefe safe. When she first places a call to the hotel, answered by her friend, Cynthia , the line goes dead midway through the conversation, and Lisa tries to fool Rippner into thinking she is still ordering the room change. She then makes two unsuccessful tries to alert the other passengers to the danger. When the phone line comes back on, Lisa makes the phone call, and the hotel staff move the politician to the targeted suite. After the call, she asks Rippner to call off the man outside her father's house, but refuses until he has confirmation of the assassination. As the plane lands, Lisa incapacitates Rippner, takes his phone and flees the plane and terminal, narrowly escaping both Rippner and airport security. Once outside, she steals a nearby SUV. She once again calls the hotel, alerting Cynthia of the danger. Cynthia pulls the fire alarm to evacuate the building and rushes to warn Keefe and his family, who are in the targeted suite. Cynthia, the Keefes and U.S. Secret Service agents manage to escape the room seconds before a Javelin missile hits. Lisa, still driving, tries to call her father, but the cell phone's battery dies. She rushes to her father's house, arriving to find the hitman outside his door, and runs him down. Lisa finds her father inside, and he tells her that he has called the police. While Lisa phones the hotel to check in, Rippner arrives and knocks out her father. He chases her through the house with a knife and throws her down a flight of stairs. Lisa retrieves the dead hitman's gun from the floor and threatens Rippner with it. He attempts to escape, but Lisa shoots him before he can. He disarms and attacks her when, finally, Lisa's father shoots Rippner, incapacitating him as the police finally arrive. Later at the hotel, Keefe and the Secret Service thank Lisa and Cynthia for saving him and his family from the assassination."
38,George Higgins,8mm,psycho_for_hire,"Private investigator Tom Welles  is contacted by Daniel Longdale , attorney for wealthy widow Mrs. Christian , whose husband has recently died. While clearing out her late husband's safe, she and Mr. Longdale find an 8 mm film which appears to depict a real murder, but Mrs. Christian wants to know for certain. After looking through missing persons files, Welles discovers the girl is Mary Ann Mathews, and visits her mother, Janet Mathews . While searching the house with her permission, he finds Mary Ann's diary, in which she says she went to Hollywood to become a film star. He asks Mrs. Mathews if she wants to know the truth, even if it is the worst. She says that she wants to know what happened to her daughter. In Hollywood, with the help of an adult video store employee called Max California , Welles penetrates the underworld of illegal pornography. Contact with a sleazy talent scout named Eddie Poole  leads them to director Dino Velvet , whose violent pornographic films star a masked man known as ""Machine."" To gain more evidence, Welles pretends to be a client interested in commissioning a hardcore bondage film to be directed by Velvet and starring Machine. Velvet agrees and arranges a meeting in New York City. At the meeting, attorney Longdale appears and explains that Christian had contracted him to procure a snuff film. Longdale says that he told Velvet that Welles might come looking for them. Realizing that the snuff film was authentic, Welles knows he is at risk. Velvet and Machine produce a bound and beaten California, whom they abducted to force Welles to bring them the only surviving copy of the illegal film. Once he delivers it, they burn it and kill California. As they are about to kill Welles, he tells them that Christian had paid $1,000,000 for the film. Velvet, Poole, and Machine received much less and that Longdale kept the major portion. In an ensuing fight, Velvet and Longdale are both killed; Welles wounds Machine and escapes. He calls Mrs. Christian to tell her his discoveries and recommends going to the police, to which she agrees. Arriving at her estate, Welles is told that Mrs. Christian committed suicide after hearing the news. She left envelopes for the Mathews family and Welles: it contains the rest of his payment and a note reading, ""Try to forgive us."" Welles decides to seek justice for the murdered girl by killing the remaining people involved. Tracking down Poole, Welles takes him to the shooting location and tries to kill him. He calls Mrs. Mathews to tell her about her daughter and asks for her permission to punish those responsible. With that, he returns and pistol-whips Poole to death, burning his body and pornography from his car. Welles traces Machine and attacks him at home. Welles unmasks him, revealing a bald, bespectacled man named George . He says, ""What did you expect? A monster?"" George goes on to tell Welles that he has no ulterior motive for his sadistic actions; he does them simply because he enjoys it. They struggle, and Welles kills him. After returning to his family, Welles receives a letter from Mrs. Mathews, thanking him and suggesting he and she were the only ones to care about Mary Ann."
40,Mortimer Brewster,Arsenic and Old Lace,psycho_for_hire,"Despite having written several books describing marriage as an ""old-fashioned superstition"", Mortimer Brewster  falls in love with Elaine Harper , who grew up next door to him in Brooklyn, and, on Halloween day, they marry. Immediately after the wedding, Mortimer visits the eccentric but lovable relatives who raised him and who still live in his old family home: his elderly aunts Abby  and Martha , and his brother Teddy ([[John Alexander , who believes he is Theodore Roosevelt. Each time Teddy goes upstairs, he yells ""Charge!"" and takes the stairs at a run, imitating Roosevelt's famous charge up San Juan Hill. Mortimer finds a corpse hidden in a window seat and assumes that Teddy has committed murder under some delusion, but his aunts explain that they are responsible . They explain in the most innocent terms that they have developed what Mortimer calls the ""very bad habit"" of ending the presumed suffering of lonely old bachelors by serving them elderberry wine spiked with arsenic, strychnine and ""just a pinch of cyanide"". The bodies are buried in the basement by Teddy, who believes he is digging locks for the Panama Canal and burying yellow fever victims. To complicate matters further, Mortimer's brother Jonathan  arrives with his alcoholic accomplice, plastic surgeon Dr. Herman Einstein . Jonathan is a murderer trying to escape the police and find a place to dispose of the corpse of his latest victim, a certain Mr. Spenalzo. Jonathan's face, as altered by Einstein while drunk, looks like Boris Karloff's in his makeup as Frankenstein's monster. This resemblance The reference to Karloff was originally a self-referential joke due to the veteran actor renown for monster roles playing the character of Jonathan Brewster on stage.<ref nameN is frequently noted, much to Jonathan's annoyance. Jonathan, upon finding out his aunts' secret, decides to bury Spenalzo in the cellar  and soon declares his intention to kill Mortimer. While Elaine waits at her family home next door for Mortimer to take her on their honeymoon, Mortimer makes increasingly frantic attempts to stay on top of the situation, including multiple efforts to alert the bumbling local cops to the threat Jonathan poses, as well as to get the paperwork filed that will have Teddy declared legally insane and committed to a mental asylum . He also worries that he will go insane like the rest of the Brewster family. As he puts it, ""Insanity runs in my family, practically gallops!"" While explaining this to Elaine, he claims they've been crazy since the first Brewsters came to America as pilgrims. But eventually Jonathan is arrested, while Teddy is safely consigned to an asylum and the two aunts insist upon joining him. Finally, Abby and Martha inform Mortimer that he is not biologically related to the Brewsters after all: his real mother was the aunts' cook and his father had been a chef on a steamship. In the film's closing scene, after lustily kissing Elaine and before whisking her away to their honeymoon, he gleefully exclaims ""I'm not a Brewster, I'm a son of a sea cook!""""Arsenic and Old Lace Synopsis."" gbproductions.org. Retrieved: October 24, 2009. This is a Hollywood Production Code bowdlerization of the line in the play: ""I'm a bastard!"""
41,Col. Paul Tanner,My Fellow Americans,psycho_for_hire,"Republican Senator Russell Kramer  wins the Presidential election, narrowly defeating Democratic Governor Matt Douglas . Four years later, Douglas wins a landslide victory over the incumbent Kramer. Another four years later, Kramer's former Vice President William Haney  defeats incumbent Douglas. Ted Matthews ([[John Heard , the Vice President under Haney, is widely seen as an idiot and becomes a continuing embarrassment for the Haney administration. A further three years later, Kramer spends his time writing books and speaking at various inconsequential functions. Meanwhile, Douglas is finishing his own book and going through a divorce. Kramer and Douglas are sent to a funeral aboard Air Force One by Haney, and spend the trip arguing with each other. The Democratic party learn about ""Olympia"", a series of bribes from defense contractor Charlie Reynolds  paid to Haney when he was Vice President. The Democratic National Committee chairman Joe Hollis  encourages Douglas to investigate further while Haney and his Chief of Staff Carl Witnaur  plot to frame Kramer. Hollis tells Douglas that the Democrats will support him for a Presidential run in return for his help. Douglas takes the offer hoping to beat Haney and get back into the Oval Office. When the rumors of Olympia begin to suggest that Kramer was involved, Kramer begins his own investigation. NSA agent Colonel Paul Tanner  has Reynolds assassinated when he attempts to tell Douglas the truth about Olympia. Kramer arrives at the scene and spots Reynolds' body. Before they can flee, Douglas and Kramer are forced to board a helicopter by White House officials, claiming to be taking them to Camp David at the request of Haney. During the flight Douglas realizes that the helicopter is heading in the wrong direction. Suspicious, the former presidents force the pilots to land the helicopter. They leave just before the helicopter explodes. Kramer and Douglas are left stranded, with the realization that the explosion was meant to kill them. They decide to go to Kramer's Presidential Library in Cuyahoga Falls, Ohio to obtain a record Kramer kept of all meals served during his time in the White House, which will prove Haney was present at a key meeting with Reynolds. During a series of misadventures, the two ex-Presidents meet a variety of ordinary Americans and see the effects their terms in office have had. After several close encounters with NSA agents, they arrive at the library and discover the evidence has been tampered with to implicate Kramer. A library guard gives Kramer a message from Reynolds' secretary stating that Witnaur had recently met with Reynolds. Douglas and Kramer kidnap Witnaur and with Joe Hollis's help, force him to reveal the plot to frame Kramer, though Witnaur claims to have no knowledge of the attempts on their lives, blaming Tanner and Haney. Douglas and Kramer go to the White House to confront Haney. The pair manage to sneak into the White House with the help of the White House Executive Chef Rita and make it to the Oval Office only to discover that Haney is giving a press conference outside about their supposed deaths. Tanner traps Douglas and Kramer in a guest room but they utilize a secret tunnel to escape while the NSA give chase. Tanner catches up with them and is about to shoot them when he himself is killed by Secret Service Sniper Lieutenant Ralph Fleming, who has recognized the former presidents due to their accidental marching in a gay pride parade he was part of and disobeys orders to shoot them. Douglas and Kramer interrupt Haney's speech and take him to the Oval Office to talk. There they play Haney a tape of Witnaur's confession, but Haney denies knowledge of Reynolds' murder or the helicopter explosion. Haney agrees to resign and proceeds to give a resignation speech, claiming to have heart problems. Douglas and Kramer muse that the idiotic Matthews will now be elevated from Vice President to President and realize that the only way it could have happened was under these circumstances. The pair confront Matthews who admits that he, not Haney, had engineered the entire plot so that he could become President, knowing Haney would take the fall. Matthews explains that his stupidity was just an act, but Douglas records his confession. Matthews is sent to jail. Nine months later, Douglas and Kramer are running together as independents in the Presidential election, arguing which of them will be the nominee for president. Douglas distracts Kramer by throwing a dollar on the floor, and takes to the podium to announce himself as the Presidential candidate, much to the chagrin of Kramer."
44,Jack Wilson,Shane,psycho_for_hire,"A stranger, wearing buckskin and a six shooter, calling himself Shane , rides into an isolated valley in the sparsely settled territory of Wyoming. Whatever his past, he's obviously skilled as a gunslinger, and soon finds himself drawn into a conflict between homesteader Joe Starrett  and ruthless cattle baron Rufus Ryker , who wants to force Starrett and the others off the land. Shane stays for supper and the night at the invitation of Joe's wife, Marian , and starts working as a farmhand. Young Joey  is drawn to him and the gun, and wants to learn how to shoot. Shane tries to teach him and his mother that a gun is a tool like any other, except it's designed to shoot people. Whether it's used for good or not depends on the person using it. There is an obvious attraction, and perhaps a history, between Shane and Marian. She tells Shane that they would be better off if there weren't any guns in the valley, including his. She is emphatic that guns are not going to be a part of her son's life. When Shane goes into town with Starrett and the rest of the homesteaders, he gets into a fistfight with Ryker's men after being ridiculed for backing down before. With Joe's help, they win, and the shopkeeper orders them out. Ryker declares that the next time Shane or Joe go to town the ""air will be filled with gunsmoke."" As tensions mount, Ryker hires Jack Wilson , an unscrupulous, psychopathic gunslinger, who laughs at the thought of murder. Wilson goads ex-Confederate Frank 'Stonewall' Torrey , a hot-tempered Alabama homesteader, into a fight, and shoots him down in the street. After the funeral, many plan to leave. But a fire set by Ryker's men spurs them into pulling together to put it out, rather than driving them out. Ryker decides to have Wilson kill Starrett in an ambush at the saloon, under the pretense of negotiating. One of Ryker's men loses his stomach for this, and warns Shane that Starrett's ""up against a stacked deck."" Joe is resolved to go anyway. He knows that Shane will look after Marian and Joey if he doesn't survive. But Shane tells Joe he's no match for Wilson, although he might be a match for Ryker. They fight and Shane has to knock him unconscious. Joey yells at Shane for pistol whipping his father with the butt of his gun. Marian begs Shane not to go and asks if he is doing it for her. He admits that he is, and for Joey, and all the decent people who want a chance to live and grow up there. In town, Shane walks into the saloon. Shane tells Ryker that they're both relics of the Old West, but Ryker hasn't realized it yet. Wilson draws, but is shot and keeps reflexively shooting, even after he's dead. Ryker pulls a hidden gun and Shane returns fire. He's turned to leave when Ryker's brother fires a Winchester rifle from the balcony overhead. Joey, who ran after Shane, calls out and Shane fires back. Shane walks out of the saloon, where Joey is waiting for him. He says that he has to move on and tells him to take care of his family. Shane also says to tell Joey's mother that there ""aren't any more guns in the valley."" Shane's blood runs onto Joey's hands when he reaches up to him. Joey's worried, but Shane tells him that's fine. Wounded, Shane sits up, with his arm hanging uselessly at his side as he rides past the grave markers on Cemetery Hill, and out of town, into the sunrise, over the mountains. The film does not explicitly state whether Shane survives the wound he received in the shootout."
45,Isaacs,Hanna,psycho_for_hire,"Hanna  is a 15-year-old girl<ref name http://www.thelocationguide.com/blog/2011/05/joe-wright-puts-locations-first-filming-hanna-in-germany-finland-and-morocco/ | title  Nick Goundry | date  The Location Guide }}{{cite web}}{{cite web | url  First Look: Saoirse Ronan in Joe Wright’s Hanna | publisher ""Goundry20110512""/>Seth Lochhead and David Farr. Hanna Screenplay, production draft  http://www.focusawards2011.com/workspace/hanna-screenplay.pdf desert, where Hanna meets Sebastian  and Rachel , a bohemian British couple on a camper-van holiday with their teenage daughter, Sophie , and their younger son, Miles . She sneaks into the family's camper-van and hitches a ferry ride to Spain, with the goal of reaching Germany. She and Sophie become close, and spend some time meeting with some local boys. Meanwhile, Wiegler hires a former agent called Isaacs  to capture Hanna before she can reunite with her father in Germany. Hanna travels with the family as they drive north. Isaacs and his men trail them and eventually corner Hanna and the family, but she manages to escape, killing one of them. Wiegler arrives, interrogates the family, and finds out that Hanna is heading to Berlin. Arriving at the address her father had told her, Hanna meets with Knepler , an eccentric old magician, who lives in a Grimm's Fairy Tale themed house in an abandoned amusement park. It's Hanna's 16th birthday and Knepler makes her breakfast with egg and waffles, and lets her listen to some music, which she has not had access to in the forest. Hanna plans to rendezvous with her father. However, Wiegler and Isaacs arrive. Hanna escapes, but not before she overhears Wiegler and Isaacs make comments that suggest Erik is not her real father. Now confused, she eventually meets her father at her grandmother's apartment, where Wiegler had tried to find her, and then killed her grandmother. Hanna then learns that Erik is not her father; Erik was actually once a recruiter for a program in which pregnant women were recruited from abortion clinics so that the C.I.A. could alter their children's DNA, enhancing their strength, stamina, and reflexes while suppressing emotions like fear and pity in order to create a batch of super-soldiers. However, the project was shut down for unexplained reasons and all the women and their genetically-modified children were eliminated. Erik tried to escape with Hanna and her mother Johanna Zadek , but Wiegler attacked their vehicle, where two-year-old Hanna had been reading her Grimm’s Fairy Tales. Wiegler shot Johanna, who then collapsed from gruesome injuries after making away some distance from the burning car, its bumper angled up against a tree. Erik managed to escape with two-year-old Hanna. Wiegler and Isaacs arrive, intent on killing them; Erik acts as a distraction to allow Hanna to escape. Erik kills Isaacs, but is shot and killed by Wiegler, who then goes back to the Grimm house. Hanna is there, having just discovered Knepler dead, his corpse hung upside down after being used for archery practice by Isaacs. After a chase into the woods toward the abandoned amusement park, Hanna and Wiegler confront one another. Hanna pleads for an end to the killing, saying she doesn't want to hurt anyone else. Wiegler says she just wants to talk, but Hanna starts walking away. Upset by this act of defiance, Wiegler shoots Hanna, who responds by shooting Wiegler with an arrow she pulled from Knepler's body, using a bungee cord she found to propel it. Hanna is knocked to the ground with a bullet in her left lower abdomen. She gets up, gets her bearings and follows Wiegler into a tunnel, noticing a deer, and then seeing Wiegler fleeing up a nearby water slide. An unarmed Hanna chases Wiegler to the top of the slide's stairs, as Wiegler continually shoots at her. Near the top, it becomes clear that Hanna's arrow did more damage than Wiegler's bullet, and a disoriented Wiegler falls and slides down the water flume right when she is about to shoot Hanna, dropping her handgun. Hanna follows the wounded Wiegler, picks up the dropped gun, comments on how she just barely missed Wiegler's heart, and shoots her. The bookend scene mirrors the opening of the film in which Hanna hunts and kills the reindeer."
